Product Name,Region,Sales,Profit,Discount,Category,Order Date
Bush Somerset Collection Bookcase,South,261.96,41.9136,0.0,Furniture,11/8/2016
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,731.94,219.582,0.0,Furniture,11/8/2016
Self-Adhesive Address Labels for Typewriters by Universal,West,14.62,6.8714,0.0,Office Supplies,6/12/2016
Bretford CR4500 Series Slim Rectangular Table,South,957.5775,-383.031,0.45,Furniture,10/11/2015
Eldon Fold 'N Roll Cart System,South,22.368,2.5164,0.2,Office Supplies,10/11/2015
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,48.86,14.1694,0.0,Furniture,6/9/2014
Newell 322,West,7.28,1.9656,0.0,Office Supplies,6/9/2014
Mitel 5320 IP Phone VoIP phone,West,907.152,90.7152,0.2,Technology,6/9/2014
DXL Angle-View Binders with Locking Rings by Samsill,West,18.504,5.7825,0.2,Office Supplies,6/9/2014
Belkin F5C206VTEL 6 Outlet Surge,West,114.9,34.47,0.0,Office Supplies,6/9/2014
Chromcraft Rectangular Conference Tables,West,1706.184,85.3091999999998,0.2,Furniture,6/9/2014
Konftel 250 Conference phone - Charcoal black,West,911.424,68.3568,0.2,Technology,6/9/2014
Xerox 1967,South,15.552,5.4432,0.2,Office Supplies,4/15/2017
Fellowes PB200 Plastic Comb Binding Machine,West,407.976,132.5922,0.2,Office Supplies,12/5/2016
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,68.81,-123.858,0.8,Office Supplies,11/22/2015
Storex DuraTech Recycled Plastic Frosted Binders,Central,2.544,-3.816,0.8,Office Supplies,11/22/2015
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,665.88,13.3176,0.0,Office Supplies,11/11/2014
Fellowes Super Stor/Drawer,West,55.5,9.99,0.0,Office Supplies,5/13/2014
Newell 341,West,8.56,2.4824,0.0,Office Supplies,8/27/2014
Cisco SPA 501G IP Phone,West,213.48,16.011,0.2,Technology,8/27/2014
"Wilson Jones Hanging View Binder, White, 1""",West,22.72,7.384,0.2,Office Supplies,8/27/2014
Newell 318,Central,19.46,5.0596,0.0,Office Supplies,12/9/2016
"Acco Six-Outlet Power Strip, 4' Cord Length",Central,60.34,15.6884,0.0,Office Supplies,12/9/2016
"Global Deluxe Stacking Chair, Gray",East,71.372,-1.0196,0.3,Furniture,7/16/2017
Bretford CR4500 Series Slim Rectangular Table,West,1044.63,240.2649,0.0,Furniture,9/25/2015
Wilson Jones Active Use Binders,West,11.648,4.2224,0.2,Office Supplies,1/16/2016
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,90.57,11.7741,0.0,Technology,1/16/2016
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,3083.43,-1665.0522,0.5,Furniture,9/17/2015
Avery Recycled Flexi-View Covers for Binding Systems,East,9.618,-7.0532,0.7,Office Supplies,9/17/2015
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,124.2,15.525,0.2,Furniture,9/17/2015
Poly String Tie Envelopes,East,3.264,1.1016,0.2,Office Supplies,9/17/2015
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,86.304,9.70919999999999,0.2,Office Supplies,9/17/2015
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,6.858,-5.715,0.7,Office Supplies,9/17/2015
Lumber Crayons,East,15.76,3.546,0.2,Office Supplies,9/17/2015
Easy-staple paper,Central,29.472,9.9468,0.2,Office Supplies,10/19/2017
GE 30524EE4,Central,1097.544,123.4737,0.2,Technology,12/8/2016
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,190.92,-147.963,0.6,Furniture,12/8/2016
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,113.328,35.415,0.2,Office Supplies,12/27/2015
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,532.3992,-46.9764,0.32,Furniture,12/27/2015
"Global Fabric Manager's Chair, Dark Gray",Central,212.058,-15.147,0.3,Furniture,12/27/2015
Plantronics HL10 Handset Lifter,Central,371.168,41.7564,0.2,Technology,12/27/2015
Panasonic Kx-TS550,Central,147.168,16.5564,0.2,Technology,9/10/2017
"Eldon Base for stackable storage shelf, platinum",West,77.88,3.89399999999999,0.0,Office Supplies,7/17/2016
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,95.616,9.56160000000001,0.2,Office Supplies,9/19/2017
